iter	RMSE
0	13.7157302
1	13.62188406
2	13.53867007
3	13.45624203
4	13.42098023
5	13.34070892
6	13.26679939
7	13.2017944
8	13.13880538
9	13.06322646
10	12.99142443
11	12.93350676
12	12.88867334
13	12.82934255
14	12.77145959
15	12.71929031
16	12.68385401
17	12.63733821
18	12.59358352
19	12.54434883
20	12.50356973
21	12.46155848
22	12.44165614
23	12.40175326
24	12.37481634
25	12.3408192
26	12.31289486
27	12.28627595
28	12.25560846
29	12.21926629
30	12.19493393
31	12.17226259
32	12.13938867
33	12.10985768
34	12.08697709
35	12.06058577
36	12.03667508
37	12.00848344
38	11.99294623
39	11.96885958
40	11.96413866
41	11.93966147
42	11.92112475
43	11.900744
44	11.87670327
45	11.86804447
46	11.85415091
47	11.83402914
48	11.81486843
49	11.80608797
50	11.79212442
51	11.77464008
52	11.75447561
53	11.74145025
54	11.72442057
55	11.70998585
56	11.69949147
57	11.68558854
58	11.6737992
59	11.65791899
60	11.63728515
61	11.6248302
62	11.61649928
63	11.60483887
64	11.59744869
65	11.58452383
66	11.57396431
67	11.56087142
68	11.54513653
69	11.53176293
70	11.51850745
71	11.50802053
72	11.49377141
73	11.4776811
74	11.47206853
75	11.47100333
76	11.45953284
77	11.45748129
78	11.44576509
79	11.43984596
80	11.43738851
81	11.42662384
82	11.41957234
83	11.40687858
84	11.40104052
85	11.39058568
86	11.38950896
87	11.38858611
88	11.37637836
89	11.36804617
90	11.35807196
91	11.35777128
92	11.35324596
93	11.35276898
94	11.34173588
95	11.336353
96	11.32582233
97	11.32489527
98	11.32183284
99	11.31816031
100	11.31590752
101	11.30963096
102	11.30722942
103	11.29939183
104	11.29191777
105	11.28281314
106	11.27733616
107	11.26677339
108	11.25730308
109	11.25422953
110	11.24946712
111	11.23951136
112	11.23123692
113	11.22118514
114	11.21417865
115	11.20842621
116	11.20825028
117	11.19693672
118	11.19546894
119	11.18672255
120	11.17672409
121	11.17395857
122	11.16557455
123	11.16307434
124	11.15503631
125	11.15115662
126	11.14463719
127	11.13919692
128	11.13397245
129	11.12541542
130	11.11915327
131	11.11272147
132	11.10780166
133	11.10614274
134	11.10272331
135	11.09692531
136	11.09562598
137	11.09535415
138	11.08805999
139	11.08159875
140	11.07542909
141	11.07504796
142	11.07499834
143	11.06978901
144	11.06820984
145	11.06410861
146	11.06319857
147	11.0550824
148	11.0493027
149	11.04906709
150	11.04820412
151	11.04133971
152	11.03628598
153	11.02851187
154	11.02482491
155	11.01985987
156	11.01340529
157	11.00722789
158	11.00219361
159	10.99838894
160	10.99288031
161	10.98785138
162	10.98265416
163	10.98161737
164	10.97694006
165	10.97465207
166	10.96766656
167	10.96209776
168	10.9558504
169	10.95386579
